1536042987550,Facebook,page_view, ,Visitor-940789,Page-2,Gatorade,Perform Fruit Punch
1536043076350,Bing,add_to_cart, ,Visitor-486487,Page-9,McCormick,Pure Ground Black Pepper
1536043083070,Other,page_view, ,Visitor-921166,Page-6,Palmolive,Original Dish Liquid
1536043104190,Bing,add_to_cart, ,Visitor-123216,Page-12,Trader Joe's,Tomato Sauce
1536043139230,Yahoo,add_to_cart, ,Visitor-864936,Page-6,Axe,Axe Anarchy for Her
1536043143550,Other,page_view, ,Visitor-738384,Page-10,Aveeno,Men's After Shave Lotion
1536043165630,Google,page_view, ,Visitor-998931,Page-6,Q-tips,Cotton Swabs
1536043236190,Other,add_to_cart, ,Visitor-460046,Page-5,Saft Lingon,Lingonberry Drink Concentrate
1536043288990,Yahoo,page_view, ,Visitor-12022,Page-9,Trident,Spearmint Gum
1536043368670,Google,page_view, ,Visitor-375340,Page-5,Expo,Dry Erase Markers
1536043382590,Yahoo,page_view, ,Visitor-321755,Page-6,Crest,Pro-Health Clean Mint Toothpaste
1536043432510,Google,page_view, ,Visitor-452050,Page-13,Trader Joe's,Extra Virgin Olive Oil
1536043495870,Google,page_view, ,Visitor-204447,Page-2,Reynolds,Parchment Paper
1536043508830,Google,page_view, ,Visitor-28587,Page-5,Botanics,Hydrating Day Cream All Bright SPF 15
1536043561150,Twitter,page_view, ,Visitor-427389,Page-7,Menscience,Advanced Deodorant
1536043565470,Bing,page_view, ,Visitor-54661,Page-2,Trader Joe's,Extra Virgin Olive Oil
1536043596190,Yahoo,page_view, ,Visitor-879743,Page-7,Tapatio,Salsa Picante
1536043664830,Direct,add_to_cart, ,Visitor-770385,Page-14,CVS,2-Ply Tissues
1536043725310,Other,page_view, ,Visitor-410249,Page-1,Annie's,Rice Pasta and Extra Cheesy Cheddar Sauce
1536043737790,Other,add_to_cart, ,Visitor-792828,Page-11,Santa Sweets,Grape Tomatoes
1536043746910,Twitter,page_view, ,Visitor-537673,Page-8,Reynolds,Parchment Paper
1536043826590,Google,add_to_cart, ,Visitor-587505,Page-0,David's Tea,Chocolate Rocket Mate Tea
1536043918270,Twitter,page_view, ,Visitor-143623,Page-11,Annie's,Rice Pasta and Extra Cheesy Cheddar Sauce
1536043967710,Yahoo,add_to_cart, ,Visitor-296885,Page-6,Ralphs,Nice 'n Elegant Spoons
1536044049790,Bing,add_to_cart, ,Visitor-506765,Page-6,Kroger,Vanilla Extract
1536044109310,Twitter,add_to_cart, ,Visitor-242726,Page-4,Parallax Inc.,Extension Cables & 3-Pin Headers
1536044126110,Yahoo,page_view, ,Visitor-507515,Page-6,Avery,Heavy-Duty EZD Reference 3-Ring Binder
1536044207710,Direct,page_view, ,Visitor-14551,Page-7,Google,Chromecast
1536044248030,Facebook,page_view, ,Visitor-989298,Page-11,Tropicana,Orange Juice with Calcium & Vitamin D
1536044272030,Facebook,add_to_cart, ,Visitor-338515,Page-10,Bolla,Pinot Grigio
1536044362270,Direct,page_view, ,Visitor-748323,Page-14,Westvleteren,Westvleteren XII
1536044395390,Other,add_to_cart, ,Visitor-202741,Page-11,Lancome,Creme Radiance
1536044488510,Twitter,page_view, ,Visitor-656507,Page-7,Tapatio,Salsa Picante
1536044493310,Other,add_to_cart, ,Visitor-172201,Page-8,aussie,Instant Freeze Gel
1536044548030,Other,page_view, ,Visitor-477877,Page-7,Duracell,76A Duralock Battery
1536044604670,Twitter,add_to_cart, ,Visitor-705994,Page-7,Edge,Sensitive Skin Shaving Gel with Aloe
1536044607070,Yahoo,page_view, ,Visitor-288453,Page-1,Trident,"White Gum, Peppermint"
1536044637310,Other,page_view, ,Visitor-972064,Page-3,Coop,Tiefkühlbeutel mit Druckverschluss
1536044722750,Twitter,page_view, ,Visitor-663204,Page-2,Banana Boat,Sport Performance- UVA/UVB protection SPF 30
1536044742430,Bing,add_to_cart, ,Visitor-869948,Page-8,Coca Cola,Soda
1536044760670,Yahoo,add_to_cart, ,Visitor-204613,Page-10,Comet,Comet With Bleach
1536044820670,Other,page_view, ,Visitor-435770,Page-4,Tropicana,Orange Juice with Calcium & Vitamin D
1536044836990,Twitter,add_to_cart, ,Visitor-194267,Page-10,CVS,2-Ply Tissues
1536044850910,Yahoo,add_to_cart, ,Visitor-970524,Page-6,Garnier Fructis Style,Pure Clean Finishing Paste
1536044905150,Bing,add_to_cart, ,Visitor-628685,Page-1,Dave's Gourmet,Red Heirloom Organic Pasta Sauce
1536044931070,Direct,page_view, ,Visitor-605446,Page-3,Simple Truth Organic,Baby Arugula
1536045006430,Twitter,page_view, ,Visitor-21055,Page-4,Sharpie,Fine Permanent Marker
1536045046270,Facebook,add_to_cart, ,Visitor-480034,Page-9,Fernet-Branca,Liqueur
1536045106750,Other,add_to_cart, ,Visitor-583174,Page-9,Kind,Dark Chocolate Nuts & Sea Salt Protein Bar
1536045186910,Yahoo,page_view, ,Visitor-635802,Page-4,Andersen's,Creamy Soup Split Pea
1536045242590,Google,add_to_cart, ,Visitor-953840,Page-2,Safeway,Blue Mint Antiseptic Mouth Rinse
1536045252190,Direct,add_to_cart, ,Visitor-407540,Page-6,Kleenex,White Tissues
1536045288190,Bing,add_to_cart, ,Visitor-409206,Page-5,Comet,Comet With Bleach
1536045323230,Facebook,add_to_cart, ,Visitor-335510,Page-14,Honeywell,Power Air Circulator
1536045338590,Facebook,add_to_cart, ,Visitor-191687,Page-8,Colgate,Toothbrush Value Pack
1536045427870,Bing,page_view, ,Visitor-833631,Page-4,California Pizza Kitchen,Sicilian Recipe Pizza
1536045487390,Facebook,add_to_cart, ,Visitor-692282,Page-6,Staples,Standard Staples
1536045497470,Google,add_to_cart, ,Visitor-728359,Page-11,Kind,Dark Chocolate Nuts & Sea Salt Protein Bar
1536045562270,Direct,add_to_cart, ,Visitor-463640,Page-8,Google,Chromecast
1536045647230,Direct,add_to_cart, ,Visitor-840283,Page-6,Orbit,Spearmint Sugarfree Gum
1536045650590,Google,add_to_cart, ,Visitor-631051,Page-4,Kroger,2% Milk
1536045695710,Twitter,add_to_cart, ,Visitor-852480,Page-14,Neutrogena,Alcohol-Free Toner
1536045772030,Other,page_view, ,Visitor-831855,Page-10,Crisco,Pure Vegetable Oil
1536045797470,Twitter,page_view, ,Visitor-130186,Page-11,David's Tea,Bubbie's Baklava Oolong Tea
1536045811390,Direct,page_view, ,Visitor-993980,Page-7,HDX,Table Top Air Circulator
1536045838750,Facebook,add_to_cart, ,Visitor-527776,Page-7,Dixie,Paper Plates
1536045913150,Other,page_view, ,Visitor-978005,Page-3,CVS Pharmacy,200mg Ibuprofen Capsules
1536045991870,Other,page_view, ,Visitor-129464,Page-13,Harney & Sons,Spiced Black Holiday Tea
1536046003390,Direct,add_to_cart, ,Visitor-454968,Page-12,Secret,pH Balanced - Unscented
1536046029310,Bing,add_to_cart, ,Visitor-23185,Page-5,Alessi,Garlic Breadsticks
1536046049950,Facebook,page_view, ,Visitor-479755,Page-12,Arm & Hammer,Ultra Max Deodorant
1536046087870,Google,add_to_cart, ,Visitor-730842,Page-14,Natural Grooming by Herban Cowboy,Dusk Deodorant
1536046165150,Google,page_view, ,Visitor-388423,Page-6,Aveeno,Clear Complexion Foaming Cleanser
1536046180510,Yahoo,add_to_cart, ,Visitor-427814,Page-3,Blue Diamond,Almonds   Whole Natural
1536046198750,Bing,page_view, ,Visitor-491276,Page-12,Aveeno,Clear Complexion Foaming Cleanser
1536046237150,Direct,page_view, ,Visitor-537809,Page-11,Gunnar,Vayper Onyx Advanced Gaming Eyewear
1536046279870,Twitter,add_to_cart, ,Visitor-658505,Page-8,HDX,Table Top Air Circulator
1536046314430,Bing,page_view, ,Visitor-66299,Page-10,Clif Bar,Chocolate Almond Fudge Energy Bar
1536046400830,Direct,add_to_cart, ,Visitor-905742,Page-10,Organix,Renewing Argan Oil of Morocco
1536046405630,Other,page_view, ,Visitor-63207,Page-0,Purity Farms,Organic Ghee
1536046455070,Twitter,add_to_cart, ,Visitor-67512,Page-8,Parallax Inc.,Extension Cables & 3-Pin Headers
1536046545790,Bing,add_to_cart, ,Visitor-982648,Page-11,Thymes,Kimono Rose Hand Creme
1536046569310,Other,add_to_cart, ,Visitor-250816,Page-10,Crest,Pro-Health Clean Mint Toothpaste
1536046645630,Twitter,page_view, ,Visitor-628688,Page-7,Safeway Kitchens,Clover Honey
1536046657630,Yahoo,add_to_cart, ,Visitor-731497,Page-0,California Pizza Kitchen,Sicilian Recipe Pizza
1536046725310,Other,page_view, ,Visitor-355213,Page-10,Clorox,Disinfecting Wipes
1536046747870,Facebook,page_view, ,Visitor-850892,Page-7,Cloud 9,48 Sheet 2-Ply Paper Towels
1536046837630,Direct,page_view, ,Visitor-57385,Page-11,Siggi's,"Icelandic Style Skyr, Blueberry"
1536046917790,Direct,add_to_cart, ,Visitor-7753,Page-2,Walgreens,Advanced Hand Sanitizer with Aloe
1536046968670,Google,add_to_cart, ,Visitor-651829,Page-9,Q-tips,Cotton Swabs
1536047028190,Bing,page_view, ,Visitor-39509,Page-3,S&W Premium,Black Beans (tin)
1536047072830,Bing,add_to_cart, ,Visitor-389370,Page-2,J. Lohr,Seven Oaks Paso Robles Cabernet Sauvignon
1536047137150,Direct,page_view, ,Visitor-82339,Page-4,Gatorade,Frost Riptide Rush
1536047144350,Bing,add_to_cart, ,Visitor-631222,Page-3,Google,Chromecast
1536047212990,Google,add_to_cart, ,Visitor-492408,Page-11,l'Oreal,EverStrong Hydrate Conditioner
1536047272990,Google,add_to_cart, ,Visitor-719478,Page-14,Kleenex,White Tissues
1536047276830,Google,add_to_cart, ,Visitor-497303,Page-3,Pond's,Dry Skin Cream
1536047363710,Facebook,add_to_cart, ,Visitor-192413,Page-14,Trident,"White Gum, Spearmint"
1536047419870,Direct,add_to_cart, ,Visitor-234573,Page-13,Arduino,Yun
1536047444830,Direct,page_view, ,Visitor-918393,Page-4,l'Oreal,EverStrong Hydrate Shampoo
1536047537950,Google,page_view, ,Visitor-130403,Page-10,Tapatio,Hot Sauce
1536047548990,Yahoo,add_to_cart, ,Visitor-568005,Page-13,Neutrogena,Oil-Free Acne Stress Control Power-Cream Wash
1536047589790,Google,page_view, ,Visitor-885414,Page-9,Kind,Dark Chocolate Nuts & Sea Salt Protein Bar
1536047606590,Twitter,page_view, ,Visitor-555528,Page-10,Avery,Permanent Reinforcement Labels
1536047658910,Google,page_view, ,Visitor-773724,Page-13,Meijer,Vitamin C 500 mg
1536047740030,Yahoo,add_to_cart, ,Visitor-809616,Page-13,O-Live And Company,Extra Virgin Olive Oil
1536047788030,Yahoo,page_view, ,Visitor-480845,Page-14,Penn,Extra Duty Felt Tennis Ball
1536047877790,Bing,page_view, ,Visitor-494930,Page-13,Kroger,Dry Roasted Unsalted Peanuts
1536047939230,Facebook,add_to_cart, ,Visitor-564212,Page-7,Trader Joe's,Sesame Melba Round Crackers
1536047997790,Direct,page_view, ,Visitor-146474,Page-0,Banquet,Brown 'N Serve Original Sausage Links
1536048017950,Bing,add_to_cart, ,Visitor-716681,Page-1,Purell,Advanced Hand Sanitizer -travel size
1536048095710,Direct,page_view, ,Visitor-841076,Page-8,Kleenex,2-Ply White Tissues (208 × 213 mm/ 8.2 × 8.4 in)
1536048172510,Other,add_to_cart, ,Visitor-458293,Page-11,Simple Truth Organic,Baby Arugula
1536048221470,Bing,page_view, ,Visitor-160204,Page-12,Sharpie,Fine Permanent Marker
1536048298270,Yahoo,page_view, ,Visitor-47321,Page-7,Sharpie,Fine Permanent Marker
1536048376990,Bing,page_view, ,Visitor-758639,Page-14,Kirkland Signature,Bath Tissue
1536048440350,Google,add_to_cart, ,Visitor-439170,Page-3,First Aid Beauty,Face Cleanser
1536048498430,Direct,add_to_cart, ,Visitor-588213,Page-1,CVS,2-Ply Tissues
1536048554110,Twitter,page_view, ,Visitor-779893,Page-11,Sanyo,Eneloop 4 AA Batteries and Charger
1536048644350,Direct,page_view, ,Visitor-962226,Page-0,De Cecco,Penne Rigate
1536048661630,Other,page_view, ,Visitor-285084,Page-7,Nivea,Sensitive Men's Shaving Gel
1536048744190,Google,page_view, ,Visitor-708977,Page-0,Mars,Peanut M&M
